Page URL,Status,Issue Type,WCAG Level,Category,Description,Impact,Node
"https://districtgalleria.com/arts/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://districtgalleria.com/arts/",200,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://districtgalleria.com/faqs/",200,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".elementor-button-text"
"https://districtgalleria.com/faqs/",200,"violations",Level AA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds",serious,"#menu-1-35190384 > .menu-item-1163.current-menu-item.page_item > .elementor-item-active.elementor-it..."
"https://districtgalleria.com/faqs/",200,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://districtgalleria.com/faqs/",200,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""districtgalleria.com""]"
"https://districtgalleria.com/faqs/",200,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://districtgalleria.com/faqs/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://districtgalleria.com/faqs/",200,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://districtgalleria.com/news/",200,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".post-1475 > .elementor-post__card > .elementor-post__text > .elementor-post__excerpt > p"
"https://districtgalleria.com/news/",200,"violations",Level AA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds",serious,"#menu-1-35190384 > .menu-item-1164.current-menu-item.page_item > .elementor-item-active.elementor-it..."
"https://districtgalleria.com/news/",200,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://districtgalleria.com/news/",200,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""districtgalleria.com""]"
"https://districtgalleria.com/news/",200,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://districtgalleria.com/news/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://districtgalleria.com/news/",200,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://districtgalleria.com/stay-in-touch/",200,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".elementor-button-text"
"https://districtgalleria.com/stay-in-touch/",200,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://districtgalleria.com/stay-in-touch/",200,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""districtgalleria.com""]"
"https://districtgalleria.com/stay-in-touch/",200,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://districtgalleria.com/stay-in-touch/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://districtgalleria.com/stay-in-touch/",200,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://districtgalleria.com/2023/12/21/mural-at-former-white-plains-galleria-means-to-inspire-visions-of-a-space-in-transition/",200,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".elementor-post-info__item--type-date"
"https://districtgalleria.com/2023/12/21/mural-at-former-white-plains-galleria-means-to-inspire-visions-of-a-space-in-transition/",200,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,"p:nth-child(1) > img[decoding=""async""]"
"https://districtgalleria.com/2023/12/21/mural-at-former-white-plains-galleria-means-to-inspire-visions-of-a-space-in-transition/",200,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://districtgalleria.com/2023/12/21/mural-at-former-white-plains-galleria-means-to-inspire-visions-of-a-space-in-transition/",200,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""districtgalleria.com""]"
"https://districtgalleria.com/2023/12/21/mural-at-former-white-plains-galleria-means-to-inspire-visions-of-a-space-in-transition/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://districtgalleria.com/2023/12/21/mural-at-former-white-plains-galleria-means-to-inspire-visions-of-a-space-in-transition/",200,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://districtgalleria.com/2023/12/01/developers-float-plan-to-turn-shuttered-galleria-mall-into-mixed-use-residential-retail-open-space-project/",200,"violations",Level AA,Robust,"Ensure role attribute has an appropriate value for the element",minor,".mejs-horizontal-volume-slider"
"https://districtgalleria.com/2023/12/01/developers-float-plan-to-turn-shuttered-galleria-mall-into-mixed-use-residential-retail-open-space-project/",200,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".elementor-post-info__item--type-date"
"https://districtgalleria.com/2023/12/01/developers-float-plan-to-turn-shuttered-galleria-mall-into-mixed-use-residential-retail-open-space-project/",200,"violations",Level AA,Error,"Ensure the order of headings is semantically correct",moderate,"h3"
"https://districtgalleria.com/2023/12/01/developers-float-plan-to-turn-shuttered-galleria-mall-into-mixed-use-residential-retail-open-space-project/",200,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://districtgalleria.com/2023/12/01/developers-float-plan-to-turn-shuttered-galleria-mall-into-mixed-use-residential-retail-open-space-project/",200,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""districtgalleria.com""]"
"https://districtgalleria.com/2023/12/01/developers-float-plan-to-turn-shuttered-galleria-mall-into-mixed-use-residential-retail-open-space-project/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://districtgalleria.com/2023/12/01/developers-float-plan-to-turn-shuttered-galleria-mall-into-mixed-use-residential-retail-open-space-project/",200,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://districtgalleria.com/2023/12/01/plans-to-redevelop-the-galleria-at-white-plains-have-been-unveiled/",200,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".elementor-post-info__item--type-date"
