Page URL,Status,Issue Type,WCAG Level,Category,Description,Impact,Node
"https://shopsatpalmdesert.com/news/",200,"violations",Level AA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds",serious,".news-item-420 > .news-details > .readmore > span"
"https://shopsatpalmdesert.com/news/",200,"violations",Level AA,Error,"Ensure the order of headings is semantically correct",moderate,"h5"
"https://shopsatpalmdesert.com/news/",200,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/news/",200,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/news/",200,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/news/",200,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""shopsatpalmdesert.com""]"
"https://shopsatpalmdesert.com/news/",200,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://shopsatpalmdesert.com/news/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://shopsatpalmdesert.com/news/",200,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://shopsatpalmdesert.com/deal/lens-crafters",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,".mcd-deal-image > img[decoding=""async""]"
"https://shopsatpalmdesert.com/deal/lens-crafters",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/deal/lens-crafters",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/deal/lens-crafters",301,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/deal/lens-crafters",301,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""shopsatpalmdesert.com""]"
"https://shopsatpalmdesert.com/deal/lens-crafters",301,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://shopsatpalmdesert.com/deal/lens-crafters",301,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://shopsatpalmdesert.com/deal/lens-crafters",301,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://shopsatpalmdesert.com/deal/daniels-jewelers-80-off-sale-b4ed3cf5d39c",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,".mcd-deal-image > img[decoding=""async""]"
"https://shopsatpalmdesert.com/deal/daniels-jewelers-80-off-sale-b4ed3cf5d39c",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
